"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Harungana madagascariensis","planted",1,"<10cm planted","1836","S0093MP7","Madagascar","Taotsara","Restoration","Restoration","1x1",143,757,"main","Nested_1x1","Permanent","0","0","Les arbres ont été plantés avec un parcelle de 2m sur 2m","Y0"
"Harungana madagascariensis","planted",1,"<10cm planted","1836","S0093MP8","Madagascar","Taotsara","Restoration","Restoration","1x1",144,758,"main","Nested_1x1","Permanent","0","2","2m sur 2m","Y0"
"Nuxia capitata","naturally_regenerating",1,"<1cm","1836","S0092MP4","Madagascar","Taotsara","Restoration","Restoration","1x1",145,775,"main","Nested_1x1","Permanent","0","1","2m sur 2m","Y0"
"Harungana madagascariensis","planted",1,"<10cm planted","1891","S0148MP1","Madagascar","Taotsara","Restoration","Restoration","1x1",146,780,"main","Nested_1x1","Permanent","0","2","2m sur 2m","Y0"
"Harungana madagascariensis","planted",1,"<10cm planted","1891","S0148MP3","Madagascar","Taotsara","Restoration","Restoration","1x1",147,782,"main","Nested_1x1","Permanent","1","2","2m sur 2m","Y0"
"Harungana madagascariensis","planted",1,"<10cm planted","1895","S0152MP2","Madagascar","Taotsara","Restoration","Restoration","1x1",148,787,"main","Nested_1x1","Permanent","1","2","2m sur 2m","Y0"
"Harungana madagascariensis","planted",1,"<10cm planted","1895","S0152MP3","Madagascar","Taotsara","Restoration","Restoration","1x1",149,788,"main","Nested_1x1","Permanent","0","0","2m sur 2m","Y0"
"Harungana madagascariensis","planted",1,"<10cm planted","1881","S0158MP3","Madagascar","Taotsara","Restoration","Restoration","1x1",150,793,"main","Nested_1x1","Permanent","1","0","2m sur 2m","Y0"
"Goyavia psidium","naturally_regenerating",1,"<1cm","1877","S0134MP4","Madagascar","Taotsara","Restoration","Restoration","1x1",151,810,"main","Nested_1x1","Permanent","0","0","5m.5m","Y0"
NA,NA,0,NA,"1871","S0128MP1","Madagascar","Taotsara","Restoration","Restoration","1x1",152,817,"main","Nested_1x1","Permanent","0","0","2*2","Y0"
