"Species","Tree_Type","size_class","Timeframe","Country","Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Size","tree_index","main_index","_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",77,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Vismia martiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",78,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Moldenhawera blanchetiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",79,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Moldenhawera blanchetiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",80,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",81,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",82,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",83,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Inga affinis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",84,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",85,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",86,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea DC.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",87,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",88,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",89,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Xylopia frutescens Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",90,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Xylopia frutescens Aubl","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",91,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",92,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Bowdichia virgilioides","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",93,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",94,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Pera heteranthera","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",95,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Bowdichia virgilioides","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",96,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",97,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",98,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Pera glabrata","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",99,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Desconhecida","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",100,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",101,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P3 - RN - 180","P3 - RN - 180","Restoration","30x30",102,8,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
