"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"418","Eriobptrya Japonica",45,66,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Eriobptrya japonica","Eriobotrya japonica","Tropicos - Missouri Botanical Garden",0.75,"Eriobotrya","Rosaceae"
"419","Erythrina coralloides",162,82,"main","group_an2yk58",5,"Present","30x30m",NA,NA,"Erythrina coralloides","Erythrina coralloides","Tropicos - Missouri Botanical Garden",0.988,"Erythrina","Fabaceae"
"420","Erythrina coralloides",8,74,NA,"group_an2yk58",1,"Present","30x30m",229320531,"main","Erythrina coralloides","Erythrina coralloides","Tropicos - Missouri Botanical Garden",0.988,"Erythrina","Fabaceae"
"421","Erythrina coralloides",135,74,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Erythrina coralloides","Erythrina coralloides","Tropicos - Missouri Botanical Garden",0.988,"Erythrina","Fabaceae"
"422","Erythrina coralloides",2,82,NA,"group_an2yk58",5,"Present","30x30m",229322068,"main","Erythrina coralloides","Erythrina coralloides","Tropicos - Missouri Botanical Garden",0.988,"Erythrina","Fabaceae"
"423","Eucalyptus",1,59,"main","group_ql6qg69",35,"Present","30x30m_Special",NA,NA,"Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"424","Eucalyptus",72,60,"main","group_an2yk58",5,"Present","30x30m",NA,NA,"Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"425","Eucalyptus",4,62,"main","group_ql6qg69",1,"Present","30x30m_Special",NA,NA,"Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"426","Eucalyptus",71,59,"main","group_an2yk58",1,"don_t_know","30x30m",NA,NA,"Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"427","Eucalyptus",1,60,NA,"group_an2yk58",5,"Present","30x30m",227314781,"main","Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"428","Eucalyptus",1,62,NA,"group_ql6qg69",1,"Present","30x30m_Special",227316281,"main","Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"429","Eucalyptus",1,59,NA,"group_ql6qg69",35,"Present","30x30m_Special",227314389,"main","Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"430","Eucalyptus",1,59,NA,"group_an2yk58",1,"don_t_know","30x30m",227314389,"main","Eucalyptus","Eucalyptus","The International Plant Names Index",0.75,"Eucalyptus","Myrtaceae"
"431","Eugenia montalbanica",2,58,NA,"PlantedTrees3",6,NA,"30x30m",226156574,"main","Eugenia montalbanica","Eugenia montalbanica","Tropicos - Missouri Botanical Garden",0.988,"Eugenia","Myrtaceae"
"432","Eugenia montalbanica",10,58,"main","PlantedTrees3",6,NA,"30x30m",NA,NA,"Eugenia montalbanica","Eugenia montalbanica","Tropicos - Missouri Botanical Garden",0.988,"Eugenia","Myrtaceae"
"433","Fagus silvatica",3,32,NA,"begin_repeat_ztsNCjoPm",2,"Present","30x30m",190956247,"main","Fagus silvatica","Fagus silvatica","Tropicos - Missouri Botanical Garden",0.988,"Fagus","Fagaceae"
"434","fdf",1,50,"main","group_ai86m63",NA,NA,"3x3m_Special",NA,NA,NA,NA,NA,NA,NA,NA
"435","fdf",1,50,NA,"group_ai86m63",NA,NA,"3x3m_Special",223397416,"main",NA,NA,NA,NA,NA,NA
"436","Fedegoso",91,104,"main","group_ka7vj63",1,"planted","3x3m within 30x30m",NA,NA,NA,NA,NA,NA,NA,NA
"437","Fedegoso",2,104,NA,"group_ka7vj63",1,"planted","3x3m within 30x30m",229844564,"main",NA,NA,NA,NA,NA,NA
"438","Ficus nota",36,57,"main","group_ka7vj63",2,"Present","3x3m within 30x30m",NA,NA,"Ficus nota","Ficus nota","Tropicos - Missouri Botanical Garden",0.988,"Ficus","Moraceae"
"439","Ficus nota",9,57,NA,"group_ka7vj63",2,"Present","3x3m within 30x30m",226154755,"main","Ficus nota","Ficus nota","Tropicos - Missouri Botanical Garden",0.988,"Ficus","Moraceae"
"440","Ficus petiolaris",6,75,NA,"group_an2yk58",1,"Present","30x30m",229320694,"main","Ficus petiolaris","Ficus petiolaris","The International Plant Names Index",0.988,"Ficus","Moraceae"
"441","Ficus petiolaris",144,75,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Ficus petiolaris","Ficus petiolaris","The International Plant Names Index",0.988,"Ficus","Moraceae"
"442","Ficus septica",26,57,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Ficus septica","Ficus septica","The International Plant Names Index",0.988,"Ficus","Moraceae"
"443","Ficus septica",3,57,NA,"group_qr1fe53",1,"Present","1x1m",226154755,"main","Ficus septica","Ficus septica","The International Plant Names Index",0.988,"Ficus","Moraceae"
"444","Folha composta",263,104,"main","group_an2yk58",2,"Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA
"445","Folha composta",2,104,NA,"group_an2yk58",2,"Present","30x30m",229844564,"main",NA,NA,NA,NA,NA,NA
"446","Fraises exelsion",1,15,NA,"begin_repeat_ELDOiv5Dr",1,"Present","3x3m within 30x30m",189663315,"main",NA,NA,NA,NA,NA,NA
"447","Garcinia forbesii",18,48,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden",0.988,"Garcinia","Clusiaceae"
"448","Garcinia forbesii",3,48,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",221722552,"main","Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden",0.988,"Garcinia","Clusiaceae"
"449","Garcinia forbesii",3,58,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",226156574,"main","Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden",0.988,"Garcinia","Clusiaceae"
"450","Garcinia forbesii",3,45,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",221701339,"main","Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden",0.988,"Garcinia","Clusiaceae"
"451","Garcinia forbesii",7,45,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden",0.988,"Garcinia","Clusiaceae"
"452","Garcinia forbesii",39,58,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden",0.988,"Garcinia","Clusiaceae"
"453","Gliricidia sepium",9,73,NA,"group_an2yk58",1,"Present","30x30m",229320308,"main","Gliricidia sepium","Gliricidia sepium","Tropicos - Missouri Botanical Garden",0.988,"Gliricidia","Fabaceae"
"454","Gliricidia sepium",6,51,NA,"begin_repeat_ztsNCjoPm",1,"Present","30x30m",224763824,"main","Gliricidia sepium","Gliricidia sepium","Tropicos - Missouri Botanical Garden",0.988,"Gliricidia","Fabaceae"
"455","Gliricidia sepium",121,73,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Gliricidia sepium","Gliricidia sepium","Tropicos - Missouri Botanical Garden",0.988,"Gliricidia","Fabaceae"
"456","Goniocheton arborescens",7,47,NA,"group_an2yk58",2,"Present","30x30m",221706815,"main","Goniocheton arborescens","Goniocheton arborescens","Tropicos - Missouri Botanical Garden",0.988,"Goniocheton","Meliaceae"
"457","Goniocheton arborescens",33,47,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Goniocheton arborescens","Goniocheton arborescens","Tropicos - Missouri Botanical Garden",0.988,"Goniocheton","Meliaceae"
"458","Guatemala ulmifolia",3,90,NA,"group_an2yk58",3,"Present","30x30m",229326727,"main","Guatemala ulmifolia","Guatemala","The International Plant Names Index",0.75,"Guatemala","Malvaceae"
"459","Guatemala ulmifolia",201,90,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Guatemala ulmifolia","Guatemala","The International Plant Names Index",0.75,"Guatemala","Malvaceae"
"460","Guazuma ulmifolia",14,74,"main","PlantedTrees3",1,NA,"30x30m",NA,NA,"Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index",0.988,"Guazuma","Malvaceae"
"461","Guazuma ulmifolia",3,74,NA,"group_an2yk58",3,"Present","30x30m",229320531,"main","Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index",0.988,"Guazuma","Malvaceae"
"462","Guazuma ulmifolia",130,74,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index",0.988,"Guazuma","Malvaceae"
"463","Guazuma ulmifolia",59,74,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index",0.988,"Guazuma","Malvaceae"
"464","Guazuma ulmifolia",1,74,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",229320531,"main","Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index",0.988,"Guazuma","Malvaceae"
"465","Guazuma ulmifolia",1,74,NA,"PlantedTrees3",1,NA,"30x30m",229320531,"main","Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index",0.988,"Guazuma","Malvaceae"
"466","Guioa pleuropteris",6,58,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",226156574,"main","Guioa pleuropteris","Guioa pleuropteris","Tropicos - Missouri Botanical Garden",0.988,"Guioa","Sapindaceae"
