"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"166","Mameyito","Garcinia intermedia",NA,NA,NA,"Garcinia","Clusiaceae"
"167","Mangifera indica","Mangifera indica","Mangifera indica","Tropicos - Missouri Botanical Garden","0.988","Mangifera","Anacardiaceae"
"168","Mangifera indica","Mangifera indica","Mangifera indica","Tropicos - Missouri Botanical Garden","0.988","Mangifera","Anacardiaceae"
"169","Mangifera indica","Mangifera indica","Mangifera indica","Tropicos - Missouri Botanical Garden","0.988","Mangifera","Anacardiaceae"
"170","Mangifera indica","Mangifera indica","Mangifera indica","Tropicos - Missouri Botanical Garden","0.988","Mangifera","Anacardiaceae"
"171","Mitrephora lanotan","Mitrephora lanotan","Mitrephora lanotan","Tropicos - Missouri Botanical Garden","0.988","Mitrephora","Annonaceae"
"172","Mussaenda philippica","Mussaenda philippica","Mussaenda philippica","Tropicos - Missouri Botanical Garden","0.988","Mussaenda","Rubiaceae"
"173","Neonauclea formicaria","Neonauclea formicaria","Neonauclea formicaria","Tropicos - Missouri Botanical Garden","0.988","Neonauclea","Rubiaceae"
"174","Palaquium luzoniense","Palaquium luzoniense","Palaquium luzoniense","Tropicos - Missouri Botanical Garden","0.988","Palaquium","Sapotaceae"
"175","Pangium edule","Pangium edule","Pangium edule","Tropicos - Missouri Botanical Garden","0.988","Pangium","Achariaceae"
"176","Persea americana","Persea americana","Persea americana","Tropicos - Missouri Botanical Garden","0.988","Persea","Lauraceae"
"177","Persea caerulea","Persea caerulea","Persea caerulea","Tropicos - Missouri Botanical Garden","0.988","Persea","Lauraceae"
"178","Perymenium grande","Perymenium grande","Perymenium grande","The International Plant Names Index","0.988","Perymenium","Asteraceae"
"179","Pinus oocarpa","Pinus oocarpa","Pinus oocarpa","The International Plant Names Index","0.988","Pinus","Pinaceae"
"180","Pinus oocarpa","Pinus oocarpa","Pinus oocarpa","The International Plant Names Index","0.988","Pinus","Pinaceae"
"181","Pinus oocarpa","Pinus oocarpa","Pinus oocarpa","The International Plant Names Index","0.988","Pinus","Pinaceae"
"182","Pinus oocarpa","Pinus oocarpa","Pinus oocarpa","The International Plant Names Index","0.988","Pinus","Pinaceae"
"183","Pinus oocarpa schil de var","Pinus oocarpa","Pinus oocarpa schil de var","Tropicos - Missouri Botanical Garden","0.988","Pinus","Pinaceae"
"184","Pinus sp","Pinus","Pinus sp","Tropicos - Missouri Botanical Garden","0.75","Pinus","Pinaceae"
"185","pinus sylvestris","Pinus sylvestris",NA,NA,NA,"Pinus","Pinaceae"
"186","Pinus sylvestris","Pinus sylvestris","pinus sylvestris","The International Plant Names Index","0.988","Pinus","Pinaceae"
