"Organization_Name","Site_ID","size_class","Already Present","Planted","Unknown"
"Taotsara","1828",">10cm",14.3573333333333,NA,NA
"Taotsara","1828","<10cm planted",NA,5793.184,NA
"Taotsara","1829","1 - 9.9cm",1638.22222222222,NA,NA
"Taotsara","1829","<1cm",2764.5,NA,NA
"Taotsara","1829","<10cm planted",NA,18.43,NA
"Taotsara","1830","<10cm planted",NA,12932.3734939759,NA
"Taotsara","1830","1 - 9.9cm",NA,NA,1565.66265060241
"Taotsara","1831","<10cm planted",NA,2369.95242814668,NA
"Taotsara","1832","<10cm planted",NA,334.055555555555,NA
"Taotsara","1833","1 - 9.9cm",12223.7142857143,NA,NA
"Taotsara","1833",">10cm",81.4914285714286,NA,NA
"Taotsara","1833","<10cm planted",NA,254.660714285714,NA
"Taotsara","1834","1 - 9.9cm",321.888888888889,NA,NA
"Taotsara","1834","<10cm planted",NA,32.1888888888889,NA
"Taotsara","1835","1 - 9.9cm",30847.9512195122,NA,NA
"Taotsara","1835","<1cm",97987.6097560976,NA,NA
"Taotsara","1835","<10cm planted",NA,21148.9924390244,NA
"Taotsara","1836","1 - 9.9cm",37318.753101649,NA,NA
"Taotsara","1836","<1cm",37550.5465991748,NA,NA
"Taotsara","1836",">10cm",18.5434798020616,NA,NA
"Taotsara","1836","<10cm planted",NA,19359.3929133523,NA
"Taotsara","1837","1 - 9.9cm",5792.22222222222,NA,NA
"Taotsara","1837","<10cm planted",NA,46.3377777777778,NA
"Taotsara","1838","<10cm planted",NA,266.911111111111,NA
"Taotsara","1840","1 - 9.9cm",4779.64088441262,NA,NA
"Taotsara","1840","<1cm",156614.446455268,NA,NA
"Taotsara","1840",">10cm",87.0080258084822,NA,NA
"Taotsara","1840","<10cm planted",NA,38718.5714847746,NA
"Taotsara","1841","<10cm planted",NA,788.9,NA
"Taotsara","1842","<1cm",1851,NA,NA
"Taotsara","1842","<10cm planted",NA,22.6233333333333,NA
"Taotsara","1843","<10cm planted",NA,18.9155555555556,NA
"Taotsara","1845","<10cm planted",NA,405.805555555556,NA
"Taotsara","1847","<10cm planted",NA,982,NA
"Taotsara","1848","1 - 9.9cm",3036.54194365305,NA,NA
"Taotsara","1848",">10cm",20.8936372269706,NA,NA
"Taotsara","1848","<10cm planted",NA,20329.5090218424,NA
"Taotsara","1849","1 - 9.9cm",7016.02655286866,NA,NA
"Taotsara","1849","<1cm",21048.079658606,NA,NA
"Taotsara","1849",">10cm",233.867551762289,NA,NA
"Taotsara","1849","<10cm planted",NA,35454.3208471629,NA
"Taotsara","1850","1 - 9.9cm",184.666666666667,NA,NA
"Taotsara","1850","<10cm planted",NA,930.72,NA
"Taotsara","1851","1 - 9.9cm",2628.99069803396,NA,4732.18325646113
"Taotsara","1851","<1cm",14196.5497693834,NA,NA
"Taotsara","1851",">10cm",31.5478883764075,NA,NA
"Taotsara","1851","<10cm planted",NA,163654.670952614,NA
"Taotsara","1852",">1cm",23528.4403669725,NA,NA
"Taotsara","1852","<10cm planted",NA,3764.5504587156,NA
"Taotsara","1853","<10cm planted",NA,27414.1585903084,NA
"Taotsara","1854","1 - 9.9cm",2649.86904138292,NA,NA
"Taotsara","1854",">10cm",150.159245678366,NA,NA
"Taotsara","1854","<10cm planted",NA,6465.68046097433,NA
"Taotsara","1855","<10cm planted",NA,7570.6135986733,NA
"Taotsara","1856",">1cm",131783.333333333,NA,NA
"Taotsara","1856","<10cm planted",NA,96860.75,NA
"Taotsara","1857","<10cm planted",NA,2684.4075,NA
"Taotsara","1859","1 - 9.9cm",1641.97530864198,NA,NA
"Taotsara","1859","<1cm",8866.66666666667,NA,NA
"Taotsara","1859","<10cm planted",NA,4334.81481481481,NA
"Taotsara","1860","1 - 9.9cm",108.76943158894,NA,NA
"Taotsara","1860","<10cm planted",NA,982.187967248131,NA
"Taotsara","1861","1 - 9.9cm",4047.92753623188,NA,NA
"Taotsara","1861","<10cm planted",NA,3148.70934782609,NA
"Taotsara","1862","1 - 9.9cm",5627.43850996171,NA,14.0685962749043
"Taotsara","1862","<1cm",88632.156531897,NA,NA
"Taotsara","1862","<10cm planted",NA,35480.9998053086,NA
"Taotsara","1864","1 - 9.9cm",16877.7777777778,NA,NA
"Taotsara","1864",">10cm",18.0833333333333,NA,NA
"Taotsara","1864","<10cm planted",NA,4701.66666666667,NA
"Taotsara","1865","<10cm planted",NA,19.76,NA
"Taotsara","1866","<10cm planted",NA,140.01,NA
"Taotsara","1868","1 - 9.9cm",135.037037037037,NA,NA
"Taotsara","1868","<10cm planted",NA,48.6133333333333,NA
"Taotsara","1869",">10cm",276.039800995025,NA,NA
"Taotsara","1869","<10cm planted",NA,4416.6368159204,NA
"Taotsara","1870","1 - 9.9cm",80038.0385830477,NA,NA
"Taotsara","1870","<1cm",97784.0290381125,NA,NA
"Taotsara","1870",">10cm",260.7574107683,NA,NA
"Taotsara","1870","<10cm planted",NA,33246.5698729583,NA
"Taotsara","1871","1 - 9.9cm",16378.1081081081,NA,NA
"Taotsara","1871","<10cm planted",NA,3619.56189189189,NA
"Taotsara","1872","1 - 9.9cm",4919.99099099099,NA,NA
"Taotsara","1872","<1cm",37954.2162162162,NA,NA
"Taotsara","1872","<10cm planted",NA,1391.65459459459,NA
"Taotsara","1873",">10cm",164.034444444444,NA,NA
"Taotsara","1873","<10cm planted",NA,15091.1688888889,NA
"Taotsara","1874","<10cm planted",NA,7016.165625,NA
"Taotsara","1876","<10cm planted",NA,107.776,NA
"Taotsara","1877","1 - 9.9cm",9890.62962962963,NA,NA
"Taotsara","1877","<1cm",48554,NA,NA
"Taotsara","1877",">10cm",251.761481481481,NA,NA
"Taotsara","1877","<10cm planted",NA,25436.9011111111,NA
"Taotsara","1878","1 - 9.9cm",1427.06666666667,NA,NA
"Taotsara","1878",">10cm",20.5333333333333,NA,NA
"Taotsara","1878","<10cm planted",NA,17417.4,NA
