"Tree_type","Species","size_class","Tree_per_sq_30m","main_data.Enter_a_date","main_data.Country","main_data.Site_ID","main_data.Timeframe","main_data.Plot_ID","main_data.Plot_Type","main_data.Plot_Permanence","main_data.Resampling1","main_data.PlantingPattern","main_data.Resampling2","main_data.X_id"
"Present","Prunus avium",">10cm",1,"2022-10-04",NA,"Chantilly-51-8","Y0","7","Restoration","Permanent",0,"Idem point précède",0,190956437
"Present","Acer campestre","1-9.9cm",100,"2022-10-04",NA,"Chantilly-51-8","Y0","7","Restoration","Permanent",0,"Idem point précède",0,190956437
"Present","Acer pseudoplatanus","1-9.9cm",100,"2022-10-04",NA,"Chantilly-51-8","Y0","7","Restoration","Permanent",0,"Idem point précède",0,190956437
"naturally_regenerating","Acer campestris","1-9.9cm",300,"2022-10-04",NA,"Chantilly-51-1","Y0","1","Restoration","Permanent",0,"2m entre plantes x 5M entre lignes",0,189725199
"Present","Acer pseudoplatanus",">10cm",12,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"Present","Carpinus betulus",">10cm",4,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"Present","Fagus silvatica",">10cm",2,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"Present","Quercus",">10cm",1,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"Present","Talia cordata",">10cm",3,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"naturally_regenerating","Acer pseudoplatanus","1-9.9cm",600,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"naturally_regenerating","Carpinus betulus","1-9.9cm",300,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"naturally_regenerating","Prunus avium","1-9.9cm",200,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"naturally_regenerating","Quercus","1-9.9cm",100,"2022-10-04",NA,"Chantilly-51-3","Y0","3","Restoration","Permanent",0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation",0,190956247
"Present","Artocarpus blancoi","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Canarium asperum","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Dimorphocalyx luzoniensis","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Diospyros blancoi","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Koordersiodendron pinnatum","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Pterospermum diversifolium Blume","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Sandoricum vidalii","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Sapium luzonicum","<1cm",900,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Atuna racemosa",">10cm",4,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Beilschmedia glomerata",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Calophyllum blancoi Pl. & Tr.",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Dipterocarpus grandiflorus",">10cm",3,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Goniocheton arborescens",">10cm",2,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Mitrephora lanotan",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Myristica philippinensis",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Nephelium rambutan",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Pometia pinnata",">10cm",4,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Sapium luzonicum",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Syzygium antisepticum",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Terminalia calamansanai",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Toona calantas",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Tritaxis malayana",">10cm",1,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Aglaia luzoniensis","1-9.9cm",100,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Neonauclea formicaria","1-9.9cm",100,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Tritaxis malayana","1-9.9cm",300,"2022-07-12","Philippines","211","Y0","Plot No. 03","Control",NA,NA,NA,NA,221706815
"Present","Alangium javanicum","<1cm",900,"2022-10-20","Philippines","211","Y0","Plot No. 003","Restoration","Permanent",0,"Trees were planted with a 3m by 2m spacing",0,228208377
"Present","Pouteria villamilii","<1cm",900,"2022-10-20","Philippines","211","Y0","Plot No. 003","Restoration","Permanent",0,"Trees were planted with a 3m by 2m spacing",0,228208377
