"_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","trunk_index","tree_index","_parent_table_name","origin_table","main_index","Species","Tree_Type","Plot_ID","Site_ID","SiteType","Plot_Size","Organization_Name","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique","Timeframe","size_class","Country"
16,1,11.2,77,68,"_30x30_Plot_Repeat","group_un3bb19",7,"Jacaranda semisserrata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
16,2,10.4,78,68,"_30x30_Plot_Repeat","group_un3bb19",7,"Jacaranda semisserrata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
17,1,11,79,69,"_30x30_Plot_Repeat","group_un3bb19",7,"Casearia commersoniana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
18,1,16.4,80,70,"_30x30_Plot_Repeat","group_un3bb19",7,"Moldenhawera blanchetiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
19,1,10.1,81,71,"_30x30_Plot_Repeat","group_un3bb19",7,"Eschweilera ovata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
20,1,17.4,82,72,"_30x30_Plot_Repeat","group_un3bb19",7,"Melanoxylon brauna","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
21,1,12.2,83,73,"_30x30_Plot_Repeat","group_un3bb19",7,"Inga affinis","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
22,1,12.5,84,74,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
23,1,14.8,85,75,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
24,1,16.4,86,76,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
25,1,16.5,87,77,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
26,1,11,88,78,"_30x30_Plot_Repeat","group_un3bb19",7,"Vismia martiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
26,2,16,89,78,"_30x30_Plot_Repeat","group_un3bb19",7,"Vismia martiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
27,1,10.4,90,79,"_30x30_Plot_Repeat","group_un3bb19",7,"Moldenhawera blanchetiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
28,1,10.2,91,80,"_30x30_Plot_Repeat","group_un3bb19",7,"Moldenhawera blanchetiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
28,1,16.4,92,81,"_30x30_Plot_Repeat","group_un3bb19",7,"Pera glabrata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
29,1,16.5,93,82,"_30x30_Plot_Repeat","group_un3bb19",7,"Zanthoxylum nemorale","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
30,1,12.4,94,83,"_30x30_Plot_Repeat","group_un3bb19",7,"Zanthoxylum nemorale","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
31,1,12.4,95,84,"_30x30_Plot_Repeat","group_un3bb19",7,"Inga affinis","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
32,1,14,96,85,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
1,1,20.7,97,86,"_30x30_Plot_Repeat","group_un3bb19",8,"Tapira guianensis Aubl.","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
2,1,10.5,98,87,"_30x30_Plot_Repeat","group_un3bb19",8,"Byrsonima sericea DC.","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
3,1,11.6,99,88,"_30x30_Plot_Repeat","group_un3bb19",8,"Thyrsodium spruceanum","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
4,1,18.4,100,89,"_30x30_Plot_Repeat","group_un3bb19",8,"Tapirira guianensis Aubl.","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
4,2,15.2,101,89,"_30x30_Plot_Repeat","group_un3bb19",8,"Tapirira guianensis Aubl.","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
5,1,14.8,102,90,"_30x30_Plot_Repeat","group_un3bb19",8,"Xylopia frutescens Aubl.","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
6,1,12.2,103,91,"_30x30_Plot_Repeat","group_un3bb19",8,"Xylopia frutescens Aubl","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
7,1,16,104,92,"_30x30_Plot_Repeat","group_un3bb19",8,"Tapirira guianensis Aubl.","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
8,1,17.2,105,93,"_30x30_Plot_Repeat","group_un3bb19",8,"Bowdichia virgilioides","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
8,2,17,106,93,"_30x30_Plot_Repeat","group_un3bb19",8,"Bowdichia virgilioides","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
8,3,12.3,107,93,"_30x30_Plot_Repeat","group_un3bb19",8,"Bowdichia virgilioides","Present","P3 - RN - 180","P3 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas nativas","Y0",NA,NA
