"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"104","Tabebuia  donnell-smithii","Tabebuia donnell-smithii","Tabebuia  donnell-smithii","Tropicos - Missouri Botanical Garden","0.988","Tabebuia","Bignoniaceae"
"105","Tabebuia rosea","Tabebuia rosea","Tabebuia rosea","Tropicos - Missouri Botanical Garden","0.988","Tabebuia","Bignoniaceae"
"106","Ternstroemia lineata","Ternstroemia lineata","Ternstroemia lineata","The International Plant Names Index","0.988","Ternstroemia","Pentaphylacaceae"
"107","Tersntroemia lineata","Ternstroemia lineata","Tersntroemia lineata","Tropicos - Missouri Botanical Garden","0.75","Ternstroemia","Pentaphylacaceae"
"108","Transtoemia luquillensis","Ternstroemia luquillensis",NA,NA,NA,"Ternstroemia","Pentaphylacaceae"
"109","Trichilia  trifolia","Trichilia trifolia","Trichilia  trifolia","Tropicos - Missouri Botanical Garden","0.988","Trichilia","Meliaceae"
"110","Uapaka kirkiana","Uapaca kirkiana","Uapaka kirkiana","Tropicos - Missouri Botanical Garden","0.75","Uapaca","Phyllanthaceae"
"111","Ulmus","Ulmus","Ulmus","The International Plant Names Index","0.75","Ulmus","Ulmaceae"
"112","Vernonia glutinosa","Vernonia glutinosa","Vernonia glutinosa","Tropicos - Missouri Botanical Garden","0.988","Vernonia","Asteraceae"
"113","Vitex doniana","Vitex doniana","Vitex Doniana","Tropicos - Missouri Botanical Garden","0.988","Vitex","Lamiaceae"
"114","Vitex Doniana","Vitex doniana",NA,NA,NA,"Vitex","Lamiaceae"
"115","Beilchmiedia riparia","Beilschmiedia riparia","Beilchmiedia riparia","Tropicos - Missouri Botanical Garden","0.75","Beilschmiedia","Lauraceae"
"116","Beilschmieda riparia","Beilschmiedia riparia","Beilschmieda riparia","Tropicos - Missouri Botanical Garden","0.75","Beilschmiedia","Lauraceae"
"117","Beilschmiedia riparia","Beilschmiedia riparia","Beilschmiedia riparia","Tropicos - Missouri Botanical Garden","0.988","Beilschmiedia","Lauraceae"
"118","Beilschmiedia ruparia","Beilschmiedia riparia","Beilschmiedia ruparia","Tropicos - Missouri Botanical Garden","0.75","Beilschmiedia","Lauraceae"
"119","Belschmiedia riparia","Beilschmiedia riparia","Belschmiedia riparia","Tropicos - Missouri Botanical Garden","0.75","Beilschmiedia","Lauraceae"
"120","Cafe","Cafe","Cafe","Tropicos - Missouri Botanical Garden","0.75","Cafe","Rubiaceae"
"121","Canarium luzonicum","Canarium luzonicum","Canarium luzonicum","Tropicos - Missouri Botanical Garden","0.988","Canarium","Burseraceae"
"122","Carallia borneensis","Carallia borneensis","Carallia borneensis","Tropicos - Missouri Botanical Garden","0.988","Carallia","Rhizophoraceae"
"123","Dalbergia  calderonii","Dalbergia calderonii","Dalbergia  calderonii","Tropicos - Missouri Botanical Garden","0.988","Dalbergia","Fabaceae"
"124","Dalbergia calderoni","Dalbergia calderonii","Dalbergia calderoni","Tropicos - Missouri Botanical Garden","0.75","Dalbergia","Fabaceae"
"125","Grevilia","Grevellia",NA,NA,NA,"Grevellia","Proteaceae"
"126","Guayaba","Guayaba","Guayaba","Tropicos - Missouri Botanical Garden","0.75","Guayaba","Myrtaceae"
"127","Inga  spuria","Inga spuria","Inga  spuria","The International Plant Names Index","0.988","Inga","Fabaceae"
"128","khaya athotheca","Khaya athotheca""",NA,NA,NA,"Khaya","Meliaceae"
"129","Nuxia capitata","Nuxia capitata","Nuxia capitata","Tropicos - Missouri Botanical Garden","0.988","Nuxia","Stilbaceae"
"130","Omalanthus fastuosus","Omalanthus fastuosus","Omalanthus fastuosus","Tropicos - Missouri Botanical Garden","0.988","Omalanthus","Euphorbiaceae"
"131","Palaquium tenuipetiolatum","Palaquium tenuipetiolatum","Palaquium tenuipetiolatum","Tropicos - Missouri Botanical Garden","0.988","Palaquium","Sapotaceae"
"132","Platano","Platanos","Platano","The International Plant Names Index","0.5","Platanos","Musaceae"
"133","Semecarpus cuneiformis blanco","Semecarpus cuneiformis","Semecarpus cuneiformis Blanco","Tropicos - Missouri Botanical Garden","0.999","Semecarpus","Anacardiaceae"
"134","Semecarpus cuneiformis Blanco","Semecarpus cuneiformis",NA,NA,NA,"Semecarpus","Anacardiaceae"
"135","Thilachium angustifolium","Thilachium angustifolium","thilachium angustifolium","Tropicos - Missouri Botanical Garden","0.988","Thilachium","Capparaceae"
"136","Thilachium angustifolium","Thilachium angustifolium","Thilachium angustifolium","Tropicos - Missouri Botanical Garden","0.988","Thilachium","Capparaceae"
"137","thilachium angustifolium","Thilachium angustifolium""",NA,NA,NA,"Thilachium","Capparaceae"
"138","Uappaka kirkiana","Uappaka kirkiana",NA,NA,NA,"Uappaka","Phyllanthaceae"
"139","Brachystigia","Brachystegia","Brachystigia","Tropicos - Missouri Botanical Garden","0.5","Brachystegia","Fabaceae"
"140",".","NA",NA,NA,NA,NA,NA
"141","0","NA",NA,NA,NA,NA,NA
"142","1","NA",NA,NA,NA,NA,NA
"143","Chalun","NA",NA,NA,NA,NA,NA
"144","Chicharo","NA",NA,NA,NA,NA,NA
"145","Chiombo","NA",NA,NA,NA,NA,NA
"146","Chisoyo","NA",NA,NA,NA,NA,NA
"147","chitimbe","NA",NA,NA,NA,NA,NA
"148","Chitimbe","NA",NA,NA,NA,NA,NA
"149","Chiwombo","NA",NA,NA,NA,NA,NA
"150","guachipilin","NA",NA,NA,NA,NA,NA
"151","Katope","NA",NA,NA,NA,NA,NA
"152","Kaumbwe","NA",NA,NA,NA,NA,NA
"153","m'bawa","NA",NA,NA,NA,NA,NA
"154","M'bawa","NA",NA,NA,NA,NA,NA
"155","Masuku","NA",NA,NA,NA,NA,NA
"156","Matowo","NA",NA,NA,NA,NA,NA
"157","Maula","NA",NA,NA,NA,NA,NA
"158","Maviro","NA",NA,NA,NA,NA,NA
"159","Maviru","NA",NA,NA,NA,NA,NA
"160","Mbawa","NA",NA,NA,NA,NA,NA
"161","Mkalakati","NA",NA,NA,NA,NA,NA
"162","mkukhu","NA",NA,NA,NA,NA,NA
"163","mlama","NA",NA,NA,NA,NA,NA
"164","Mlama","NA",NA,NA,NA,NA,NA
"165","mlonde","NA",NA,NA,NA,NA,NA
"166","Mlonde","NA",NA,NA,NA,NA,NA
"167","Mloro","NA",NA,NA,NA,NA,NA
"168","mphakasa","NA",NA,NA,NA,NA,NA
"169","Mphakasa","NA",NA,NA,NA,NA,NA
