"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Eugenia jambosa","naturally_regenerating",1,"1 - 9.9cm","1805","S0062MP 15","Madagascar","FAFIALA","Restoration","Restoration","30x30",209,1403,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Psidia altissima","naturally_regenerating",8,"1 - 9.9cm","1805","S0062MP 15","Madagascar","FAFIALA","Restoration","Restoration","30x30",210,1403,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP122","Madagascar","FAFIALA","Restoration","Restoration","30x30",211,1407,"main","Census_30x30","Permanent","0","2","5m*5m","Y0"
"Eucalyptus robusta","Present",3,"1 - 9.9cm","1803","S0060 MP 01","Madagascar","FAFIALA","Restoration","Restoration","30x30",212,1411,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Dracaena reflexa","planted",2,"<10cm planted","1803","S0060 MP 01","Madagascar","FAFIALA","Restoration","Restoration","30x30",213,1411,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Nixua capitata","naturally_regenerating",58,"1 - 9.9cm","1797","S0054MP54","Madagascar","FAFIALA","Restoration","Restoration","30x30",214,1415,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmannia madagascariensis","naturally_regenerating",13,"1 - 9.9cm","1797","S0054MP54","Madagascar","FAFIALA","Restoration","Restoration","30x30",215,1415,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmannia madagascariensis","naturally_regenerating",8,"1 - 9.9cm","1797","S0054MP63","Madagascar","FAFIALA","Restoration","Restoration","30x30",216,1416,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmania rutenbergii","naturally_regenerating",2,"1 - 9.9cm","1803","S0060 MP 14","Madagascar","FAFIALA","Restoration","Restoration","30x30",217,1417,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Nuxia capitata","naturally_regenerating",1,"1 - 9.9cm","1803","S0060 MP 16","Madagascar","FAFIALA","Restoration","Restoration","30x30",218,1420,"main","Census_30x30","Permanent","2","2","6m*6m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP48","Madagascar","FAFIALA","Restoration","Restoration","30x30",219,1421,"main","Census_30x30","Permanent","2","2","4m sur 4m","Y0"
"Nixua capitata","naturally_regenerating",175,"1 - 9.9cm","1799","S0056MP3","Madagascar","FAFIALA","Restoration","Restoration","30x30",220,1422,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Desmodium barbatium","naturally_regenerating",9,"1 - 9.9cm","1799","S0056MP3","Madagascar","FAFIALA","Restoration","Restoration","30x30",221,1422,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Eugenia jambosa","naturally_regenerating",9,"1 - 9.9cm","1800","S0057MP2","Madagascar","FAFIALA","Restoration","Restoration","30x30",222,1423,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Brachylaena perrieri","naturally_regenerating",36,"1 - 9.9cm","1800","S0057MP2","Madagascar","FAFIALA","Restoration","Restoration","30x30",223,1423,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Albizia gummifera",NA,5,NA,"1800","S0057MP2","Madagascar","FAFIALA","Restoration","Restoration","30x30",224,1423,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Nixua capitata","naturally_regenerating",38,"1 - 9.9cm","1800","S0057MP1","Madagascar","FAFIALA","Restoration","Restoration","30x30",225,1427,"main","Census_30x30","Permanent","2","2","1.5m sur 1.5m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP 140","Madagascar","FAFIALA","Restoration","Restoration","30x30",226,1428,"main","Census_30x30","Permanent","2","2","4m sur 4m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP 140","Madagascar","FAFIALA","Restoration","Restoration","30x30",227,1428,"main","Census_30x30","Permanent","2","2","4m sur 4m","Y0"
NA,"Present",NA,"1 - 9.9cm","1795","S0052MP 51","Madagascar","FAFIALA","Restoration","Restoration","30x30",228,1430,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmannia madagascariensis","naturally_regenerating",12,"1 - 9.9cm","1797","S0054MP80","Madagascar","FAFIALA","Restoration","Restoration","30x30",229,1432,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Luxa capitata","naturally_regenerating",10,"1 - 9.9cm","1803","S0060 MP 07","Madagascar","FAFIALA","Restoration","Restoration","30x30",230,1440,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Thilachium angustifolium","naturally_regenerating",1,"1 - 9.9cm","1803","S0060 MP 07","Madagascar","FAFIALA","Restoration","Restoration","30x30",231,1440,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Spidium guajava","naturally_regenerating",6,"1 - 9.9cm","1812","S0069MP17","Madagascar","FAFIALA","Restoration","Restoration","30x30",232,1444,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Nuxia capitata","naturally_regenerating",4,"1 - 9.9cm","1795","S0052MP54","Madagascar","FAFIALA","Restoration","Restoration","30x30",233,1448,"main","Census_30x30","Permanent","2","2","1.5m * 1.5m","Y0"
"Pachytrophe obovota","naturally_regenerating",5,"1 - 9.9cm","1797","S0054MP75","Madagascar","FAFIALA","Restoration","Restoration","30x30",234,1455,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","naturally_regenerating",5,"1 - 9.9cm","1797","S0054MP131","Madagascar","FAFIALA","Restoration","Restoration","30x30",235,1457,"main","Census_30x30","Permanent","0","2","4m sur 4m","Y0"
"Spidium guajava","naturally_regenerating",2,"1 - 9.9cm","1797","S0054MP131","Madagascar","FAFIALA","Restoration","Restoration","30x30",236,1457,"main","Census_30x30","Permanent","0","2","4m sur 4m","Y0"
"Albizia gummifera","naturally_regenerating",10,"1 - 9.9cm","1797","S0054MP131","Madagascar","FAFIALA","Restoration","Restoration","30x30",237,1457,"main","Census_30x30","Permanent","0","2","4m sur 4m","Y0"
"Nuxia capitata","naturally_regenerating",6,"1 - 9.9cm","1797","S0054MP131","Madagascar","FAFIALA","Restoration","Restoration","30x30",238,1457,"main","Census_30x30","Permanent","0","2","4m sur 4m","Y0"
NA,"planted",NA,"<10cm planted","1795","S0052MP144","Madagascar","FAFIALA","Restoration","Restoration","30x30",239,1462,"main","Census_30x30","Permanent","2","2","1,5m*1,5m","Y0"
NA,"planted",NA,"<10cm planted","1795","S0052MP144","Madagascar","FAFIALA","Restoration","Restoration","30x30",240,1462,"main","Census_30x30","Permanent","2","2","1,5m*1,5m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP 51","Madagascar","FAFIALA","Restoration","Restoration","30x30",241,1467,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
NA,"don_t_know",7,"1 - 9.9cm","1795","S0052MP 51","Madagascar","FAFIALA","Restoration","Restoration","30x30",242,1467,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
NA,"don_t_know",5,"1 - 9.9cm","1795","S0052MP 51","Madagascar","FAFIALA","Restoration","Restoration","30x30",243,1467,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
NA,"planted",NA,"<10cm planted","1796","S0053 MP 12","Madagascar","FAFIALA","Restoration","Restoration","30x30",244,1470,"main","Census_30x30","Permanent","2","2","3m sur 3m","Y0"
NA,"planted",NA,"<10cm planted","1796","S0053 MP 12","Madagascar","FAFIALA","Restoration","Restoration","30x30",245,1470,"main","Census_30x30","Permanent","2","2","3m sur 3m","Y0"
"Nuxia capitata","naturally_regenerating",12,"1 - 9.9cm","1795","S0052MP155","Madagascar","FAFIALA","Restoration","Restoration","30x30",246,1476,"main","Census_30x30","Permanent","2","2","1.5m* 1.5m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP155","Madagascar","FAFIALA","Restoration","Restoration","30x30",247,1476,"main","Census_30x30","Permanent","2","2","1.5m* 1.5m","Y0"
"Weinmania rutenbergii","naturally_regenerating",5,"1 - 9.9cm","1805","S0062 MP 14","Madagascar","FAFIALA","Restoration","Restoration","30x30",248,1477,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Nuxia capitata","naturally_regenerating",4,"1 - 9.9cm","1805","S0062 MP 14","Madagascar","FAFIALA","Restoration","Restoration","30x30",249,1477,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
NA,"naturally_regenerating",NA,"1 - 9.9cm","1795","S0052MP156","Madagascar","FAFIALA","Restoration","Restoration","30x30",250,1479,"main","Census_30x30","Permanent","2","2","1.5m* 1.5m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP147","Madagascar","FAFIALA","Restoration","Restoration","30x30",251,1492,"main","Census_30x30","Permanent","2","2","6m * 6m","Y0"
"Psidia altissima","Present",2,"1 - 9.9cm","1797","S0054MP11","Madagascar","FAFIALA","Restoration","Restoration","30x30",252,1494,"main","Census_30x30","Permanent","2","2","2m * 2m","Y0"
"Harungana madagascarnesis","naturally_regenerating",30,"1 - 9.9cm","1812","S0069MP29","Madagascar","FAFIALA","Restoration","Restoration","30x30",253,1495,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Weinmannia rutenbergii","naturally_regenerating",49,"1 - 9.9cm","1797","S0054MP6","Madagascar","FAFIALA","Restoration","Restoration","30x30",254,1496,"main","Census_30x30","Permanent","2","2","2m * 2m","Y0"
