"Organization_Name","Site_ID","size_class.x","count_Y0","size_class.y","count_Y25","size_class","count_Y5","restored_Y25","restored_Y5"
"CUCOS","1484",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1485","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1485",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1487",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1489","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1489",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1490","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1490",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1491","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1491",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1492","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1492",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1493","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1493",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1494","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1494",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1495","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1495",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1496","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1496",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1497","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1497",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1498","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1498",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1499","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1499",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1500","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1500",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1501","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1501",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1502","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1502",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1503","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1503",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1504","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1504",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1505","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1505",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1506","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1506",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1507","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1507",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1508","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1508",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1509","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1509",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1510","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1510",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1512","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1512",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1514","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1514",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1515","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1515",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1516","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1516",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1517","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1517",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1518","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1518",">10cm",NA,NA,NA,NA,NA,NA,NA
