"project_country","species","country_name","datasetKey","scientificName","datasetTitle","status_notes","status"
"CO","Pachira","Colombia",NA,NA,NA,NA,NA
"CO","Cavanillesia platanifolia","Colombia",NA,NA,NA,NA,NA
"CO","Erythrina berteroana","Colombia",NA,NA,NA,NA,NA
"CO","Mfsp 4º","Colombia",NA,NA,NA,NA,NA
"CO","Senna","Colombia",NA,NA,NA,NA,NA
"CO","Erythrina poeppigiana","Colombia",NA,NA,NA,NA,NA
"CO","Arecaceae","Colombia","168568e7-eb5f-4ef6-8c59-f73ceaf57e91",NA,"Global Register of Introduced and Invasive Species - Colombia","potentially introduced",NA
"CO","Sterculia apetala","Colombia",NA,NA,NA,NA,NA
"CO","Triplaris americana","Colombia",NA,NA,NA,NA,NA
"CO","Mfsp 5","Colombia",NA,NA,NA,NA,NA
"CO","Vismia macrophylla","Colombia",NA,NA,NA,NA,NA
"CO","Platymiscium pinnatum","Colombia",NA,NA,NA,NA,NA
"CO","Ziziphus","Colombia",NA,NA,NA,NA,NA
"CO","Erythrina edulis","Colombia",NA,NA,NA,NA,NA
"CO","Spondias mombin","Colombia",NA,NA,NA,NA,NA
"CO","Pouteria","Colombia",NA,NA,NA,NA,NA
"CO","Cecropia","Colombia",NA,NA,NA,NA,NA
"CO","Zanthoxylum","Colombia",NA,NA,NA,NA,NA
"CO","Machaerium","Colombia",NA,NA,NA,NA,NA
"CO","Matisia cordata","Colombia",NA,NA,NA,NA,NA
"CO","Caesalpinia","Colombia",NA,NA,NA,NA,NA
"CO","Mfsp 10","Colombia",NA,NA,NA,NA,NA
"CO","Peltogyne purpurea","Colombia",NA,NA,NA,NA,NA
"CO","Tabebuia chrysea","Colombia",NA,NA,NA,NA,NA
"CO","Croton malambo","Colombia",NA,NA,NA,NA,NA
"CO","Pouteria caimito","Colombia",NA,NA,NA,NA,NA
"CO","Psidium guajava","Colombia",NA,NA,NA,NA,NA
"CO","Genipa americana","Colombia",NA,NA,NA,NA,NA
"CO","Gliricidia sepium","Colombia","168568e7-eb5f-4ef6-8c59-f73ceaf57e91",NA,"Global Register of Introduced and Invasive Species - Colombia","potentially introduced",NA
"CO","Miconia","Colombia",NA,NA,NA,NA,NA
"CO","Mfsp 3","Colombia",NA,NA,NA,NA,NA
"CO","Clusia","Colombia",NA,NA,NA,NA,NA
"MX","Maclura tinctoria","Mexico",NA,NA,NA,NA,NA
"MX","Comocladia macrophylla","Mexico",NA,NA,NA,NA,NA
"MX","Bursera simaruba","Mexico",NA,NA,NA,NA,NA
"MX","Hintonia latiflora","Mexico",NA,NA,NA,NA,NA
"MX","Bursera graveolens","Mexico",NA,NA,NA,NA,NA
"MX","Pereskiopsis rotundifolia","Mexico",NA,NA,NA,NA,NA
"MX","Dendropanax arboreus","Mexico",NA,NA,NA,NA,NA
"MX","Plumeria rubra","Mexico",NA,NA,NA,NA,NA
"MX","Cordia dentata","Mexico",NA,NA,NA,NA,NA
"MX","Senna alata","Mexico",NA,NA,NA,NA,NA
"MX","Pithecellobium dulce","Mexico",NA,NA,NA,NA,NA
"MX","Leucaena lanceolata","Mexico",NA,NA,NA,NA,NA
"MX","Ceiba pentandra","Mexico",NA,NA,NA,NA,NA
"MX","Crateva tapia","Mexico",NA,NA,NA,NA,NA
"MX","Acacia farnesiana","Mexico",NA,NA,NA,NA,NA
"MX","Cedrela mexicana","Mexico",NA,NA,NA,NA,NA
"MW","Faiderbia albida","Malawi",NA,NA,NA,NA,NA
"KE","Acacia mellifera","Kenya",NA,NA,NA,NA,NA
"KE","Balanites aegyptiaca","Kenya",NA,NA,NA,NA,NA
"KE","Melia","Kenya",NA,NA,NA,NA,NA
"CG","Ceiba pentandra","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Pericopsis elata","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Dacryodes normandii","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Leplaea cedrata","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Cassia siamea","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Adenanthera pavonina","Democratic Republic of Congo","f6e7601b-3457-4a1b-b5a8-01490566a3b8",NA,"Global Register of Introduced and Invasive Species - Democratic Republic of Congo","potentially introduced",NA
"CG","Pycnanthus angolensis","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Treculia africana","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Autranella congolensis","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Afzelia","Democratic Republic of Congo",NA,NA,NA,NA,NA
"BR","Oenocarpus bacaba","Brazil",NA,NA,NA,NA,NA
"BR","Eremanthus erythropappus","Brazil",NA,NA,NA,NA,NA
"CG","Nauclea diderrichii","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Baillonella toxisperma","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Pachira aquatica","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Milicia excelsa","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Paramacrolobium coeruleum","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Paramacrolobium","Democratic Republic of Congo",NA,NA,NA,NA,NA
"MW","Cordyla africana","Malawi",NA,NA,NA,NA,NA
"CG","Celtis tessmannii","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Prioria oxyphylla","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Tetrapleura tetraptera","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Entandrophragma cylindricum","Democratic Republic of Congo",NA,NA,NA,NA,NA
"CG","Entandrophragma candollei","Democratic Republic of Congo",NA,NA,NA,NA,NA
"BR","Couma utilis","Brazil",NA,NA,NA,NA,NA
"BR","Dipteryx odorata","Brazil",NA,NA,NA,NA,NA
"BR","Mezilaurus itauba","Brazil",NA,NA,NA,NA,NA
"BR","Oenocarpus bataua","Brazil",NA,NA,NA,NA,NA
"BR","Parkia pendula","Brazil",NA,NA,NA,NA,NA
"BR","Pouteria macrophylla","Brazil",NA,NA,NA,NA,NA
"BR","Simarouba amara","Brazil",NA,NA,NA,NA,NA
"BR","Copaifera langsdorffii","Brazil",NA,NA,NA,NA,NA
"BR","Enterolobium maximum","Brazil",NA,NA,NA,NA,NA
"BR","Piptadenia gonoacantha","Brazil",NA,NA,NA,NA,NA
"BR","Theobroma speciosum","Brazil",NA,NA,NA,NA,NA
"MG","Intsia","Madagascar",NA,NA,NA,NA,NA
"MG","Trachylobium","Madagascar",NA,NA,NA,NA,NA
"MG","Cafe","Madagascar",NA,NA,NA,NA,NA
"MG","Mangifera","Madagascar",NA,NA,NA,NA,NA
"MG","Citrus","Madagascar",NA,NA,NA,NA,NA
"MG","Papaya","Madagascar",NA,NA,NA,NA,NA
"MG","Litchi","Madagascar",NA,NA,NA,NA,NA
"MG","Eriobotrya","Madagascar",NA,NA,NA,NA,NA
"MG","Harungana madagascariensis","Madagascar",NA,NA,NA,NA,NA
"MG","Trema orientalis","Madagascar",NA,NA,NA,NA,NA
"MG","Syzygium","Madagascar",NA,NA,NA,NA,NA
"MG","Vanilla","Madagascar",NA,NA,NA,NA,NA
"MG","Piper","Madagascar",NA,NA,NA,NA,NA
"MG","Prunus","Madagascar",NA,NA,NA,NA,NA
"PT","Arbutus unedo","Portugal",NA,NA,NA,NA,NA
"MG","Trachylobium verrucosum","Madagascar",NA,NA,NA,NA,NA
"MG","Citrus sinensis","Madagascar",NA,NA,NA,NA,NA
"MG","Persea americana","Madagascar",NA,NA,NA,NA,NA
"MG","Morus alba","Madagascar",NA,NA,NA,NA,NA
"MG","Persea","Madagascar",NA,NA,NA,NA,NA
"MG","Spondias dulcis","Madagascar","baf86ad8-24ad-4603-a723-dcc9647846da",NA,"Global Register of Introduced and Invasive Species - Madagascar","potentially introduced",NA
"MG","Lichi","Madagascar",NA,NA,NA,NA,NA
"MG","Cajanus","Madagascar",NA,NA,NA,NA,NA
